Abstract,Label
"This paper describes my history of exposure and contributions to behavioral neuroscience, especially to the role of the hippocampus in learning and memory. Through a series of accidents and opportunities, and after priming in the graduate student environment of hippocampus and memory at Dalhousie University in the Department of Psychology, my work on the topic started at the University of Lethbridge, evaluating place navigation in Richard Morris' swimming pool task with Bryan Kolb and Ian Whishaw. We made a number of experimental and theoretical contributions, most important among these was the evaluation of the deficits caused by hippocampal damage on place learning and memory, recent versus remote memory, configural associations, and extensions to human memory. We describe some missteps and how we picked ourselves up and continued on.",neuroscience
"In 2025, the 19th MAEVAS Day, an annual event demonstrating the strong commitment of the Paris Psychiatry and Neuroscience University Hospital Group and its healthcare management to promoting healthcare practices, was held on the theme of ""Providing care with empathy: the art of understanding and soothing."" Empathy, beyond sympathy or simple compassion, is a demanding but essential attitude in healthcare. It requires caregivers to engage attentively with others, respecting their experiences, values, fantasies, and individual struggles. It requires balance - between closeness and distance, commitment and self-preservation - and creativity. This is demonstrated by healthcare projects based on joy, rock climbing, and occupational therapy.",neuroscience
"Second among global disability causes, migraine is a severely debilitating neurological disorder that affects over 1 billion people. Recognized clinically for millennia, migraine exhibits complex multifactorial pathogenesis, whose mechanisms, risk factors, and therapy remain poorly understood. This also necessitates robust animal models that recapitulate this disorder. Complementing rodent models, the zebrafish (Danio rerio) is commonly used in neuroscience research. Can these fish be used to study pathophysiology of migraine? Here, we discuss the developing utility of these fish for modeling migraine-like conditions and the potential for high-throughput pharmacological testing of its therapies. Critically evaluating the existing challenges of modeling migraine in zebrafish, we also outline potential future lines of research in this field.",neuroscience
"This study introduces and evaluates a signal processing framework to identify electrophysiological biomarkers for neurodegenerative diseases from resting-state electroencephalography (EEG) data. The objective is to quantify distinct patterns of brain dysfunction in Alzheimer's Disease (AD) by analyzing nonlinear signal dynamics and functional connectivity. The analysis was performed on a dataset of 65 participants, including individuals with AD, Frontotemporal Dementia (FTD), and Healthy Controls (HC). A two-stage analytical method was applied to the EEG signals. The first stage, Phase-Space Projection (PSP), transforms the EEG time-series into a signal representing its deviation from a stable reference state. The second stage, Interactive Signal Decomposition (ISD), separates this deviation signal into oscillatory components and a nonlinear residual. Functional connectivity was assessed using the directed Phase Lag Index (dPLI). The AD group exhibited significantly lower functional connectivity compared to the HC group. Concurrently, the mean residual energy, a measure of signal complexity derived from the ISD framework, was significantly lower in AD patients. A direct positive correlation was found between residual energy and Mini-Mental State Examination (MMSE) scores, linking reduced nonlinear signal complexity to greater cognitive impairment. The combined PSP-ISD framework provides a quantitative measure of local nonlinear signal complexity, which is reduced in Alzheimer's Disease. When used alongside functional connectivity analysis, this approach offers a method for characterizing the neuropathology of AD through both network-level degradation and local reduced nonlinear signal complexity, supplying a new analytical tool for clinical neuroscience.",neuroscience
"BACKGROUND: Before implementing an educational intervention, there is a need to establish baseline knowledge levels such that the outcome of said intervention can be fairly evaluated. Before developing a structured nursing educational intervention, we aimed to assess nursing knowledge, nursing confidence regarding that knowledge, and the accuracy of the knowledge. METHODS: We distributed a 50-item validated neurological assessment test (NAT) questionnaire to 70 nurses working at a teaching hospital in Kenya. There were no personal identifiers collected and the NAT was made available in both electronic and paper formats to facilitate responses. RESULTS: The 64 nurses who returned the questionnaire had median knowledge scores of 22% (14% to 32%); median confidence scores of 61% (37% to 87%); and median accuracy scores of 38% (31.3% to 45.6%). There was a strong association between confidence and knowledge (r2=0.66; P<0.0001); and between knowledge and accuracy (r2=0.35; P<0.0001); but not between confidence accuracy (r2=0.03; P=0.112). CONCLUSION: The NAT questionnaire was useful in assessing baseline confidence levels, knowledge, and accuracy of that knowledge. Nurses in this sample had moderate to high confidence that extended beyond the accuracy of their knowledge base. There is a need for targeted international educational interventions to improve neuroscience nursing knowledge.",neuroscience
This submission discusses the significance of a recent study by Kwaśniak et al. (2025). This study assessed neural activation during the generation of motor imagery in aphantasics and control participants. The results of this study are placed in the context of the broader aphantasia literature and the importance of these results within the field of cognitive and motor neuroscience is emphasized.,neuroscience
"Brain is a hierarchical information processing system, in which the feedback signals from high-level to low-level regions are critical. The feedback signals may convey complex high-order features (e.g. category, identity) and simple low-order features (e.g. orientation, spatial frequency) to sensory cortex to interact with the feedforward information, but how these types of feedback information are represented and how they differ in facilitating visual processing remains unclear. The current study used the peripheral object discrimination task, 7T fMRI, and MEG to isolate feedback from feedforward signals in human early visual cortex. The results showed that feedback signals conveyed both low-order features natively encoded in early visual cortex and high-order features generated in high-level regions, but with different spatial and temporal properties. The high-order feedback information targeted both superficial and deep layers, whereas the low-order feedback information reached only deep layers in V1. In addition, MEG results revealed that the feedback information from occipitotemporal to early visual cortex emerged around 200 ms after stimulus onset, and only the representational strength of high-order feedback information was significantly correlated with behavioral performance. These results indicate that the complex and simple components of feedback information play different roles in predictive processing mechanisms to facilitate sensory processing.",neuroscience
"Neuromyelitis optica (NMO) is an autoimmune disorder characterized by autoantibodies against the astrocyte water channel aquaporin-4 (AQP4) that cause demyelination in the optic nerves and spinal cord. How astrocytopathy leads to myelination deficits remains unclear. Chitinase-3-like protein 1 (CHI3L1, also known as YKL-40) is predominantly secreted by activated astrocytes, serves as a robust NMO biomarker, and plays a role in immune responses, but how it is induced and shapes astrocyte activation in NMO is not well defined. Using ex vivo and in vivo NMO mouse models together with mice with astrocyte-specific CHI3L1 knockout, we demonstrated that CHI3L1 directly contributed to demyelinating lesions elicited by AQP4 autoantibody-activated astrocytes. With complementary in vitro assays and inducible transgenic lines, we uncovered an astrocyte-intrinsic cascade in which AQP4 autoantibody exposure activated STAT3, which in turn drove CHI3L1 expression and secretion. Secreted CHI3L1 then engaged the astrocytic receptor RAGE in an autocrine manner, activating downstream NF-κB signaling that drove proinflammatory gliosis and damaged myelination. Pharmacological blockade of this pathway in NMO models rescued demyelinating pathology and improved motor function. These findings reveal an astrocyte-intrinsic CHI3L1 pathway that contributed to demyelination in NMO and identify actionable therapeutic targets.",neuroscience
"Cuproptosis involves accumulation of intracellular copper that triggers mitochondrial lipoylated protein aggregation and destabilization of iron-sulfur cluster proteins, leading to cell death. Pharmacologic induction of cuproptosis has been proposed as a cancer therapy. Here, we find that glioblastoma (GBM) stem cells (GSCs) displayed relative resistance to cuproptosis with circadian variation of intracellular copper levels. CRISPR screening of copper regulators under concurrent treatment with copper ionophore or clock disruption revealed dependency on ATPase copper transporting alpha (ATP7A). Circadian control of copper homeostasis was mediated by the core clock transcription factor, brain and muscle ARNT-like 1 (BMAL1). In turn, ATP7A promoted tumor cell growth through regulation of fatty acid desaturation. Copper levels negatively fed back into the circadian circuitry through sequestosome 1/p62-mediated lysosomal degradation of BMAL1. Targeting the circadian clock or fatty acid desaturation augmented cuproptosis antitumor effects. Crosstalk between the core circadian clock and copper sustains GSCs, reshaping fatty acid metabolism and promoting drug resistance, which may inform development of combination therapies for GBM.",neuroscience
"The central nervous system (CNS) parenchyma has conventionally been believed to lack lymphatic vasculature, likely owing to a non-permissive microenvironment that hinders the formation and growth of lymphatic endothelial cells (LECs). Recent findings of ectopic expression of LEC markers including prospero homeobox 1 (PROX1), a master regulator of lymphatic differentiation, and the vascular permeability marker plasmalemma vesicle-associated protein (PLVAP) in certain glioblastomas (GBM) and brain arteriovenous malformations have prompted investigation into their roles in cerebrovascular malformations, tumor environments, and blood-brain barrier (BBB) abnormalities. To explore the relationship between ectopic LEC properties and BBB disruption, we used endothelial cell-specific Prox1 overexpression mutants. When induced during embryonic stages of BBB formation, endothelial Prox1 expression induces hybrid blood-lymphatic phenotypes in the developing CNS vasculature. This effect is not observed when Prox1 is overexpressed during postnatal BBB maturation. Ectopic Prox1 expression leads to significant vascular malformations and enhanced vascular leakage, resulting in BBB disruption when induced during both embryonic and postnatal stages. Mechanistically, PROX1 downregulates critical BBB-associated genes, including β-catenin and claudin-5, which are essential for BBB development and maintenance. These findings suggest that PROX1 compromises BBB integrity by negatively regulating BBB-associated gene expression and Wnt/β-catenin signaling.",neuroscience
