Abstract,Label
"Diabetic nephropathy (DN) is the leading cause of end-stage renal disease. Given the limited therapeutic options, identifying novel differentially expressed genes and therapeutic targets is crucial for DN. We performed transcriptome sequencing of kidney tissue from DN patients and applied bioinformatics analyses to identify dysregulated pathways and candidate genes. Transcriptomic analysis revealed significant enrichment of the necroptosis pathway in DN kidney tissues, with Z-DNA binding protein 1 (ZBP1) showing the most pronounced differential expression among pathway-associated genes. Clinical and pathological data were collected from DN patients to evaluate the correlation between ZBP1 expression and key indicators of renal function and injury, thereby assessing its association with DN progression. Our results indicate that ZBP1 expression was significantly upregulated in DN kidney tissues compared to normal peritumour tissue, and correlated with renal tubule injury and renal function. Functional studies demonstrated that ZBP1 knockdown attenuated necroptosis, tubular injury, inflammation, and fibrosis in both db/db mice and high glucose/advanced glycation end products (HG/AGEs)-stimulated MTECs (mouse renal tubular epithelial cells). Mechanistically, ZBP1 directly interacts with receptor interacting protein kinase 3 (RIPK3) to promote necroptotic cell death. Furthermore, we identified ETS proto-oncogene 1 (ETS1) as a transcriptional activator of ZBP1 under HG conditions. In summary, this study identifies ZBP1 as a key mediator of tubular injury, inflammation and fibrosis in DN via RIPK3-dependent necroptosis, highlighting its potential as a therapeutic target.",bioinformatics
"Lactate metabolism and its epigenetic modification, lactylation, are emerging regulators in neurological disorders, yet their roles in spinal cord injury (SCI) remain unclear. Here, we mined SCI transcriptomes from GEO and identified 13 differentially expressed lactylation-related genes (DE-LRGs), with lactate dehydrogenase A (LDHA) significantly upregulated. Immune-infiltration analysis linked LDHA to T cells gamma delta, and Mfuzz time-series clustering showed dynamic LDHA upregulation during acute SCI, which was validated in GSE45006. Random forest and ROC analyses supported the diagnostic value of LDHA. PPI and GeneMANIA networks positioned LDHA at the intersection of lactate metabolism and immune regulation. Drug prediction with Enrichr/DSigDB and docking highlighted folic acid and quercetin dihydrate as candidate compounds. GSVA/GSEA indicated LDHA enrichment in immune activation, metabolic regulation, and stress-response pathways. Immunofluorescence in a rat SCI model confirmed sustained LDHA elevation from 1 to 3 days around the lesion. Importantly, Western blot validation (3 days post-injury) demonstrated increased nuclear HIF-1α and p-STAT3^Y705 (total STAT3 unchanged) together with elevated CXCL1, IL-6, and CCL2 and the infiltration marker MPO/CD68; these changes were attenuated by LDHA inhibition (FX11) and partially rescued by exogenous lactate, supporting an LDHA → lactate → HIF-1α/STAT3 → chemokine/infiltration axis in acute SCI. Collectively, our data identify LDHA as a key lactylation-related regulator in SCI that contributes to pathogenesis via metabolic reprogramming and immune modulation, highlighting its promise as a diagnostic biomarker and therapeutic target.",bioinformatics
"Magnolol, a bioactive principle from Magnolia officinalis, has demonstrated potential anticancer properties. This study investigates the anticancer effects of magnolol on liver cancer cells under in vitro conditions, expounding its molecular mechanisms, target interactions, and therapeutic potential. SwissADME evaluated drug-like physicochemical properties of magnolol while as SwissTargetPrediction, SuperPred, and GeneCards identified potential biological targets of magnolol and disease targets (liver cancer) respectively. Protein-protein interaction (PPI) networks were generated by using STRING database and Cytoscape software with identification of hub genes by using Cytohubba plugin. Functional enrichment analysis, such as gene ontology (GO) and KEGG pathway analyses of the common biological targets was performed in order to identify main biological processes, molecular functions, cellular components and signalling pathways. Hub genes were differentially expressed, staged, and prognosed using GEPIA2. Using CB-Dock2, binding affinities of magnolol with NFKB1, EGFR, and ERBB2 were examined, while MD simulations was performed using Desmond Software. MTT, clonogenic, Transwell, EDU, and flow cytometry assays were implemented to evaluate the therapeutic efficacy of magnolol on HepG2 cell proliferation, cellular morphology, cell migration, DNA synthesis, and cellular apoptosis. Magnolol demonstrated favorable drug-like physicochemical properties, including high GI absorption and BBB permeability. A total of 44 overlapping targets between magnolol and liver cancer were identified, forming a dense PPI network with 10 hub genes, including NFKB1, EGFR, and ERBB2. GO and KEGG analyses revealed enrichment in critical pathways such as PI3K-Akt, MAPK, and ErbB signaling, emphasizing the potential of magnolol in cancer treatment. Hub gene analysis showed differential expression patterns, with NFKB1 and ERBB2 overexpressed in tumors, correlating with advanced stages and poor survival, while EGFR downregulation indicated a favorable prognosis. Docking studies revealed strong binding affinities, particularly for ERBB2 (Vina score - 10.1), with MD simulations confirming stable interactions. Functional assays in HepG2 cells demonstrated dose-dependent inhibition of proliferation, colony formation, migration, and DNA synthesis, alongside significant apoptosis induction. This study highlights magnolol as a possible lead molecule candidate for liver cancer, targeting key molecular pathways and hub genes associated with disease progression. Its ability to modulate critical cellular functions and induce apoptosis, coupled with its strong binding affinity and stability with pivotal proteins, underscores its therapeutic potential.",bioinformatics
"Renal cell carcinoma (RCC) presents treatment challenges in advanced stages owing to its metastatic potential. This study explored the role of NME8, a nucleotide metabolism-related protein, in the metastasis and prognosis of RCC. Analysis of the GSE66272 dataset and of The Cancer Genome Atlas (TCGA) specimens revealed that NME8 is overexpressed in renal cancer and is correlated with poor patient outcomes, as determined by Cox regression. Functional assessments, including Gene Ontology and Kyoto Encyclopedia of Genes and Genomes pathway analyses and immune infiltration studies, were conducted. In vitro experiments involving the creation of stable NME8-knockdown cell lines revealed that NME8 knockdown significantly reduced renal cancer cell proliferation, migration, and invasion while increasing apoptosis. Immunoblotting indicated that NME8 was associated with epithelial-mesenchymal transition (EMT) proteins such as E-cadherin, vimentin, and Twist. Furthermore, exposure to the Janus kinase (JAK) inhibitor ruxolitinib and the signal transducer and activator of transcription (STAT)3 inhibitor stattic demonstrated that NME8 promoted RCC metastasis by activating the JAK/STAT signaling pathway. Elevated NME8 levels were linked to immune cell infiltration. In conclusion, our findings suggest that NME8 contributes to RCC metastasis by promoting JAK/STAT-mediated EMT and modulating the tumor immune microenvironment. While elevated NME8 expression correlates with poor prognosis in public cohorts, its utility as a clinical prognostic biomarker requires further validation in independent patient populations.",bioinformatics
"Osteoarthritis (OA) is a multifactorial degenerative joint disease. Emerging evidence suggests that dysregulation of circular RNAs (circRNAs) may contribute to OA pathogenesis. In this study, we aimed to investigate the potential role and underlying mechanisms of circ_0004662 in chondrocyte dysfunction under inflammatory conditions. Gene expression was silenced or overexpressed in chondrocytes by cell transfection. Bioinformatics analysis, dual-luciferase reporter assays, and RNA pull-down experiments were employed to validate the interaction within the circ_0004662/miR-450b-5p/TCF4 axis. Cell viability, apoptosis, expression of apoptosis-related proteins, and levels of inflammatory cytokines were assessed using CCK-8, flow cytometry, western blotting, and ELISA, respectively. We found that circ_0004662 was significantly upregulated in OA cartilage tissues and in lipopolysaccharide (LPS)-stimulated chondrocytes. Functionally, knockdown of circ_0004662 attenuated LPS-induced chondrocyte injury, as evidenced by improved cell viability, increased anti-apoptotic protein expression, reduced apoptosis rate, decreased pro-apoptotic protein levels, and lower secretion of inflammatory cytokines. Mechanistically, circ_0004662 acted as a sponge for miR-450b-5p, thereby upregulating TCF4 expression. Our findings suggest that circ_0004662 exacerbates inflammatory chondrocyte injury through the miR-450b-5p/TCF4 axis. These results highlight its potential involvement in OA-related inflammation. Key Points • circ_0004662 was obviously upregulated in OA. • circ_0004662 regulated LPS-induced OA chondrocyte injury by miR-450b-5p/TCF4. • circ_0004662/miR-450b-5p/TCF4 was valuable for the diagnosis of OA diagnosis.",bioinformatics
"Bioinformatic analysis of fatty acid metabolism-related genes (FAMRGs) in systemic sclerosis (SSc) patients' peripheral blood mononuclear cell (PBMC) expression profiles and clinical significance analysis provides SSc pathogenesis insights. The study used GSE22356 and GSE33463 datasets from the GEO database to identify fatty acid metabolism-related genes (FAMRGs) in SSc via GSEA and WGCNA. Then, RT-qPCR validated their expression and analyzed the correlation between FAMRGs and clinical data/lipid levels. Lastly, it assessed the diagnostic value of FAMRGs for SSc comorbidities using ROC curve analysis. GSEA of SSc datasets found fatty acid metabolism enrichment. WGCNA identified SSc-correlated modules and genes. Cross-analysis with MSigDB revealed five SSc-associated FAMRGs (HIBCH, ACADM, IDH1, ACOX1, SUCLA2). Clinical data showed SSc patients had higher TG, WBC, and GR and lower TC, HDL-c, Hb, and LY than HC (p < 0.05). Subgroup analysis found SSc-ILD-PAH had higher age and ESR but lower Hb and LDL-c than SSc-ncILD-ncPAH (p < 0.05). RT-qPCR showed that HIBCH, ACADM, and ACOX1 were upregulated in SSc. ACADM and ACOX1 were higher in SSc-ILD-ncPAH. ACADM negatively correlated with TC and HDL-C (r =  - 0.383, p = 0.028; r =  - 0.372, p = 0.033). ROC analysis showed ACADM and ACOX1 had AUC values of 0.682 and 0.672 in diagnosing SSc-ILD. SSc-ILD-PAH had higher HIBCH and ACOX1 than SSc-ILD-ncPAH. The expression of fatty acid metabolism-related genes (HIBCH, ACADM, and ACOX1) is different in SSc patients' PBMCs. HIBCH may help in SSc-ILD-PAH diagnosis. Fatty acid metabolism dysregulation and lipid level changes in SSc patients are linked to immune dysfunction and chronic inflammation, impacting disease progression. Key Points • This study identified five pivotal fatty acid metabolism-related genes (FAMRGs) (HIBCH, ACADM, ACOX1, IDH1, and SUCLA2) in systemic sclerosis (SSc) patients through integrated bioinformatics analysis, combining Gene Expression Omnibus (GEO) data retrieval, Gene Set Enrichment Analysis (GSEA), and Weighted Gene Co-Expression Network Analysis (WGCNA). • This study revealed that FAMRGs such as HIBCH, ACADM, and ACOX1 were significantly upregulated in peripheral blood mononuclear cells (PBMCs) of SSc patients, suggesting that dysregulated fatty acid metabolism may be implicated in the pathogenesis of SSc. • The expression levels of these genes (HIBCH, ACADM, ACOX1) are significantly correlated with lipid metabolism indicators (e.g., cholesterol, triglycerides) and disease complications (e.g., pulmonary fibrosis) in SSc patients, providing potential targets for metabolic intervention in SSc.",bioinformatics
"Environmental DNA (eDNA) analysis enables biodiversity monitoring by detecting organisms from trace genetic material, but high reagent costs, cold-chain logistics and computational demands limit its broader use, particularly in resource-limited settings. To address these challenges and improve accessibility, we directly compared multiple workflow components, including four DNA extraction methods, two primer sets, three Nanopore basecalling models, and two demultiplexing pipelines. Across 48 workflow combinations tested in an aquarium with 15 fish species, we mapped trade-offs between cost, sensitivity, and processing speed to assess where time and resource savings are possible without compromising detection. Workflows using the Qiagen Blood and Tissue (BT) extraction kit and amplification using the MiFish-U primer set provided the highest sensitivity, detecting ≥ 12 of 15 species by ~3-5 h and reaching the 15-OTU plateau at ~8-10 h with Oxford Nanopore's high accuracy (HAC) basecalling model. Chelex, an alternative lower-cost extraction method, showed partial recovery only (≤ 9 OTUs by 61 h) even with extended sequencing, and did not recover all 15 OTUs. DirectPCR and QuickExtract offered field-friendly extraction alternatives that achieved comparable recovery in ~10-12 h, though their cost-effectiveness varied. While the MarVer1 primer was designed to broaden vertebrate detection, it recovered the same fish species as MiFish-U, though with fewer total reads. Real-time sequencing trials (0-61 h) revealed that high-efficiency workflows (BT + HAC) reached detection plateaus rapidly, indicating sequencing time can be reduced without sacrificing accuracy. The OBITools4 bioinformatics pipeline enabled automated demultiplexing but discarded more reads than an alternative, ONTbarcoder2.3, which retained low-abundance taxa at the cost of manual curation. Rather than identifying a single 'best' workflow, this study provides a transparent decision framework for prioritising cost, speed, and sensitivity in eDNA applications, supporting scalable, cost-effective eDNA monitoring in resource-limited settings.",bioinformatics
"Radiotherapy often causes radiation-induced myelosuppression, adversely affecting patient health and treatment outcomes. Danggui Buxue Decoction (DBD), a traditional Chinese Medicine formula, has shown potential in alleviating X-ray-induced myelosuppression (X-IM) and promoting hematopoietic recovery, though its specific targets and mechanisms remain unclear. This study seeks to clarify DBD's targets and mechanisms in combating X-IM using bioinformatics and experimental methods. Network pharmacology was employed to identify 153 key targets of DBD for treating X-IM. Gene ontology enrichment analysis highlighted critical biological processes, cellular components, and molecular functions, including nucleus, cytoplasm, protein binding, and DNA binding. KEGG/DAVID analysis underscored the pivotal role of the phosphatidylinositol 3-kinase/protein kinase B (PI3K/AKT) signaling pathway in DBD's protective effects against X-IM. Molecular docking validated the interaction of DBD's main components with core targets. The high-performance liquid chromatographic fingerprint analysis of DBD revealed distinct and reproducible peaks, indicating that its quality is controllable. Further content detection and component identification of calycosin and ferulic acid showed that the contents of key ingredients in DBD and their identities fully met the established requirements. Animal experiments demonstrated that DBD significantly accelerated the recovery of white blood cells, red blood cells, and platelets in X-IM-exposed mice, enhanced the secretion of hematopoietic factors like erythropoietin and granulocyte-macrophage colony-stimulating factor, and improved bone marrow cellularity and cell arrangement in the femurs of treated mice, as revealed by histopathological examination. Molecular analyses further confirmed that DBD significantly upregulated the mRNA expression of PI3K and AKT, consistent with the predictions from network pharmacology. The research employed a comprehensive strategy to explore the benefits and underlying mechanisms of DBD in addressing X-IM, ultimately laying a fresh groundwork for identifying and advancing natural therapeutic agents. © 2026 Society of Chemical Industry.",bioinformatics
"Tumor metastasis is a key factor in cancer progression, yet its molecular mechanisms are not fully understood. ERBB2-positive lung cancer exhibits aggressive behavior, and the role of miR-139 in its metastasis requires investigation. This study aimed to explore the function of miR-139 in ERBB2-positive lung cancer and its underlying molecular mechanism involving the ERBB2/Rac1/NF-κB signaling axis. The study utilized A549 lung cancer cells and tissue samples from 106 lung cancer patients. Methods included RT-PCR, bioinformatics analysis, dual-luciferase reporter assay, Western blot, cell migration/invasion assays, wound healing tests, Rac1 activity assays, and rescue experiments using Rac1-Q61L. MiR-139 expression was significantly downregulated in lung cancer tissues, especially in lymph node metastases (P<0.01). MiR-139 directly targeted the 3'UTR of ERBB2 and inhibited its expression (P<0.01). Overexpression of miR-139 reduced Rac1 activity (P<0.01) without affecting RhoA or Cdc42, and decreased NF-κB signaling activity in ERBB2-positive tissues. MiR-139 overexpression significantly suppressed cell migration and invasion (P<0.01), an effect partially reversed by Rac1-Q61L. MiR-139 inhibits lung cancer cell migration and invasion by targeting ERBB2, suppressing Rac1 activity, and downregulating NF-κB signaling. Its downregulation promotes metastasis through the ERBB2/Rac1/NF-κB axis.",bioinformatics
"Pancreatic adenocarcinoma (PAAD) is an aggressive cancer type with high mortality rates. The Argonaute (AGO) gene/protein family is an evolutionary conserved family, which is responsible for post-transcriptional regulation of gene expression. Despite the fact that this family members (AGO1-4) have been linked to prognosis in some cancers, they have not been comprehensively investigated in PAAD. Therefore, this study investigates the role of AGO family members on PAAD. In our research, bioinformatics analyses were performed to study gene, protein and methylation levels, prognostic importance, gene-gene and protein-protein interactions, enrichment analysis, and immune infiltration analysis, using online and publicly available platforms. Additionally, real-time PCR was used to check mRNA levels in the pancreatic cell line BxPC-3. mRNA ( The findings of this study indicate the potential importance of AGO2 in terms of biological functions and prognostication in PAAD.",bioinformatics
