Abstract,Label
"Effective knowledge of ecological connectivity at sea and at the land-sea interface is key to supporting global policy goals to conserve and restore ocean biodiversity and function. However, a persistent lack of commonality in terminology and understanding around the concept of connectivity in marine ecological studies hampers its integration across disciplines, and its application in spatial planning and policy. Building on an extensive literature review, we clarify definitions and subcategories of marine connectivity, and propose a unified conceptual framework for Marine Functional Connectivity (MFC) research to support the integration of multidisciplinary scientific knowledge into management and policy. We identify key challenges and future directions for advancing this emerging field, bringing together most strands of marine science to understand changes in biodiversity and functional interdependencies between habitats and regions. Embedding this new integrated MFC research at the core of marine environmental science promises to improve significantly predictions of environmental and socio-economic change and the sustainable use of ecosystems and resources at sea and at the land-sea interface.",environmental science
"The Otsuchi Coastal Research Center (OCRC), a field station belonging to the Atmosphere and Ocean Research Institute at the University of Tokyo, was established in 1973 in Otsuchi, a coastal town on the Sanriku coast of Honshu, Japan. Located near a site where warm and cold ocean currents converge, OCRC facilitates research in biology, chemistry, physics and geoscience within a unique marine environment shaped by a complex rocky coastline and river-fed bays. The centre is staffed by resident researchers and technicians, provides research vessels and a dormitory, and supports around 2000 person-days of visiting scientists annually for field observations, aquarium-based experimentation and instrumental analyses. Since 2004, we have pursued biologging studies at OCRC with graduate students and collaborators from Japan and abroad. This research has focused on loggerhead and green turtles, streaked shearwaters, chum salmon and ocean sunfish, producing insights into physiology, behaviour, ecology and environmental science. In 2011, the original research building and dormitory were severely damaged by an earthquake and tsunami, resulting in the loss of field notes, materials and some data. Fortunately, there were no casualties, and a new research building and dormitory were rebuilt on higher ground in 2018. To enhance data preservation, the biologging intelligent platform (BiP) was established to archive biologging datasets with their associated metadata. To better understand how marine animals respond to ongoing environmental changes, continued long-term field research and historical data comparison are essential. With access to diverse ecosystems and robust technical infrastructure, and its collaborative research culture, OCRC is uniquely positioned to potentially meet that demand.",environmental science
"Virtual water trade and regional specialization can enhance water security, yet their drivers and impacts remain unquantified. In this study, we propose a system-based modeling framework to trace virtual water transfer patterns, identify intercity network relationships, and quantify the primary socioeconomic factors driving water footprint dynamics in the Yangtze river delta urban agglomeration. Our analysis reveals that the total water footprint of this region decreased by 6% between 2010 and 2020. Water-scarce cities such as Yancheng, Yangzhou, and Tai'zhou in Jiangsu province serve as major production centers for water-intensive goods, accounting for nearly half of the region's total virtual water exports. Changes in water use intensity, production structure, and final demand composition are identified as critical contributors to water footprint reductions in cities across Zhejiang and Anhui provinces. These findings underscore the necessity of cross-regional cooperation to address inefficient water resource allocation and mitigate unintended increases in water stress.",environmental science
"Urban form's impact on the thermal environment is well studied, but a gap remains in understanding the boundary effect of natural geographic proximity on urban thermal conditions. For plateau cities' unique environment, the urban block distance to Dianchi Lake (UB-DDL) and the urban block distance to forested mountain areas (UB-DFMA) were incorporated as natural factors influencing land surface temperature (LST). The results of the XGBoost model analysis revealed that while urban form, such as the normalized difference built-up index, building density, and vegetation cover, predominantly contributes to the LST, the influences of UB-DDL and UB-DFMA should not be overlooked. Furthermore, urban blocks within 5 km of Dianchi Lake and within 6.7 km of the forested mountain area are classified as effective cooling zones. This study combines local climate zone classification with boundary effects to provide unique insights for effectively mitigating the urban heat environment in plateau cities.",environmental science
"Soil science research involves the composition, properties, processes, and functions of soil under natural conditions and anthropogenic utilization, and provides scientific basis for the utilization, protection, and sustainable management of soil resources. This review summarizes the significant contributions of Research Center for Eco-Environmental Sciences (RCEES), Chinese Academy of Sciences, to the advances of soil science. Over past decades, RCEES has conducted innovative research in areas such as soil pollution and remediation, biogeochemical cycling of macro and trace elements and soil microbial ecology. Groundbreaking discoveries have been achieved in research directions such as metal transformation and translocation in the soil-plant continuum, soil microbial diversity and biogeography, and the environmental and health risk of soil contamination. In recent years, on-going projects also involves cutting-edge hotspots, including the environmental behavior of emerging pollutants, and soil organic matter dynamics. The soil lab in RCEES has undertaken important research projects and trained a group of dynamic young scientists, and has also been instrumental in establishing international collaborations, enhancing its global impact through participation in global soil research initiatives and conferences. Concurrently, soil science at RCEES is moving forward to the resilience of soil ecosystems to global changes, integrating soil health into the One Health framework, and sustainable soil management practices. RCEES remains a key player in shaping the future of soil science, contributing to both scientific advances and the sustainable management of soil resources in China.",environmental science
"The root cause of new pollutants problems lies in the massive production and use of chemicals, leading to environmental pollution and potential health and ecological risks. New pollutants pose a long-term major threat to both environmental health and human well-being. Chinese environmental scientists and researchers in related fields have been dedicating to studying new pollutants and their associated substances since 1999, conducting multidimensional pioneering research. This review synthesizes cutting-edge advancements in scientific discoveries, technological innovations, and policy developments, with a particular focus on the transformative progress and impacts of research into new pollutants conducted by the State Key Laboratory of Environmental Chemistry and Ecotoxicology (SKLECE) at the Research Center for Eco-Environmental Sciences (RCEES) over the past two decades. By integrating precise analysis, mechanistic insights, and scalable solutions, this work redefines the field of environmental toxicology and offers a paradigm shift in global pollutant management. It promotes health risk mitigation and sustainable environmental safety, contributing significantly to the advancement of environmental science and global governance strategies.",environmental science
"Environmental processes including ballasted flocculation (BF) present significant optimization challenges due to complex multicomponent interactions and small, heterogeneous experimental data sets that frequently lead to overfitted machine learning (ML) models with poor real-world performance. To address this, we developed GP-BT, a Gaussian Process Bayesian Tuning framework that systematically optimizes kernel selection and hyperparameters by directly minimizing cross-validation loss, explicitly prioritizing generalization over training set fitting. Comprehensive evaluation across three environmental data sets demonstrated GP-BT's superior robustness compared to conventional algorithms (Random Forest, XGBoost, CatBoost) and standard GP models. The GP-BT's practical value was confirmed through 52 independent laboratory experiments, achieving lower prediction errors on unseen conditions. The method's conservative learning strategy─avoiding aggressive fitting of sparse, noisy data points─proved crucial for reliable real-world performance. Applied to combined sewer overflows treatment optimization, GP-BT uncovered experimental conditions achieving 98% removal efficiency, compared to 89% predicted by the overfitted Random Forest model. Experimental validation confirmed these predictions, revealing substantial process potential masked by traditional modeling approaches. SHapley Additive exPlanations (SHAP) analysis showed that GP-BT's interpretations better aligned with established physicochemical mechanisms, properly emphasizing reagent importance over less controllable factors. Beyond specific applications, this work provides environmental researchers with a ready-to-use, rigorously validated framework for extracting reliable insights from costly, small-scale experimental data sets. To maximize impact, we provide an open-source Python package (pip install bayesian-gp-cvloss) and interactive web platform (www.ai4env.world), enabling widespread adoption of robust ML practices that can accelerate discovery of hidden performance potential in environmental technologies.",environmental science
"Environmental micro- and nanoplastic pollution is becoming increasingly severe; it can infiltrate organisms and cause tissue dysfunction, posing a potential hidden danger that may lead to human diseases and exacerbate the severity of this pollution. In recent years, the biotoxicity of micro- and nanoplastics (MNPs) has been extensively investigated using animal models. However, most studies and reports have not sufficiently explored the specific mechanisms of biological hazards. Here, we summarize several mechanisms through which MNPs induce brain injury. These studies indicate that the application of interdisciplinary technologies has enhanced toxicological investigations of these tiny particles, helping to clarify their underlying mechanisms. For example, the use of brain",environmental science
"Mobile eye-tracking is a valuable method that holds significant potential for understanding informal learning in applied environmental science settings, yet it remains underutilized. In this paper, we explore the benefits of adopting this technology to objectively assess engagement in real-time, which can inform the design and advancement of informal learning through environmental science exhibits. In addition, mobile eye-tracking offers technology to conduct state-of-the-art research in applied museum settings. Using a climate change exhibits as an example, we illustrate ways to leverage this technology to improve exhibit design and deepen our understanding of visual engagement and informal learning. Finally, we address the challenges and areas for growth in applied eye-tracking technology. Overall, we present what this cutting-edge methodology can offer to enhance engagement and learning through environmental exhibits.",environmental science
"Over the past decade, initiatives such as the Shan-Shui Initiative, the ""Three-North"" Project, and the construction of nature reserve system, have accumulated valuable experience of ecological governance for the ecological conservation and restoration, thereby establishing a solid foundation for achieving deeper ""holism"", including full-factor integration and full-cycle monitoring. To promote theoretical advancement and model optimisation of holistic ecological conservation and restoration, we applied a three-in-one analytical framework of ""problem, theory, and pathway"" to develop a collaborative governance logic system, alongside a five-in-one implementation pathway based on the induction of practical challenges. The results showed that holistic ecological conservation and restoration is confronted with structural gaps that urgently need to be addressed in terms of objective transmission, organizational collaboration, and process control. By coupling theories from fields such as ecological environmental science, management, geography, systems theory, and cybernetics, a governance logic system comprised of ""objective collaboration, organizational collaboration, and process collaboration"" can be established for holistic ecological conservation and restoration. The governance form of holistic ecological conservation and restoration is expected to evolve from ""physical combination"" to ""organic fusion"", wherein the implementation pathway encompassing ""strategy, planning, design, implementation, and management"" serves as the pivotal mechanism for translating theory into practice. Collectively, the proposed governance logic and implementation pathway contribute to the establishment and improvement of a governance model characterized by ""unified understanding, unified implementation, and unified management"", thereby providing systematic theoretical guidance and structured model references for the in-depth development for practical activities of holistic ecological conservation and restoration. 近10年来,以“山水工程”、“三北”工程和自然保护地体系建设为代表的生态保护修复活动取得了诸多生态治理经验,为全要素整合、全周期管控等深层“一体化”的实现奠定了良好基础。为推动一体化保护修复的理论深化和模式优化,本研究运用“问题-理论-路径”三位一体的分析框架,基于对其现实问题的归纳总结形成了协同治理逻辑体系和五位一体实施路径。结果表明: 一体化保护修复在目标传导、组织协作与过程控制方面具有亟待填补的结构性裂隙;一体化保护修复可通过耦合生态环境科学、管理学、地理学、系统论和控制论等学科理论,形成“目标协同-组织协同-过程协同”的治理逻辑体系;一体化保护修复的治理形态将从“物理拼合”迈向“有机融合”,在此过程中,“谋划-策划-设计-实施-管理”五位一体的实施路径构成了理论向实践转化的核心枢纽。上述治理逻辑与实施路径有助于一体化保护修复建立健全“统一认知-统一实施-统一管理”的治理模式,为其实践活动的深入发展提供了系统性的理论指导和体系化的模式参考。.",environmental science
